mode,dice,iou,pre,rec,hd95,cbl,N_img,N_samples
zoom_out,0.7727,0.6363,0.6594,0.9533,8.0788,0.9520,72,92
shift,0.7356,0.5869,0.6284,0.9052,9.2260,0.9168,72,92
