mode,img_name,dice,iou,pre,rec,hd95,cbl
zoom_out,IMG0003713.png,0.790068,0.652985,0.673077,0.956284,3.000000,0.930631
zoom_out,IMG0003734.png,0.723127,0.566327,0.588859,0.936709,5.000000,0.920931
zoom_out,IMG0003767.png,0.763128,0.616983,0.634785,0.956522,13.000000,0.984966
zoom_out,IMG0003810.png,0.673961,0.508251,0.513333,0.980892,7.071068,0.870566
zoom_out,IMG0003942.png,0.820153,0.695135,0.698913,0.992284,5.000000,0.976820
zoom_out,IMG0003952.png,0.627986,0.457711,0.458853,0.994595,5.664762,0.944797
zoom_out,IMG0003953.png,0.887824,0.798276,0.802426,0.993562,2.236068,0.984923
zoom_out,IMG0004044.png,0.774118,0.631478,0.645098,0.967647,6.324555,0.954875
zoom_out,IMG0004114.png,0.799649,0.666179,0.688525,0.953545,14.823617,0.982220
zoom_out,IMG0004233.png,0.671958,0.505976,0.734104,0.619512,5.057775,0.831743
zoom_out,IMG0004376.png,0.870264,0.770325,0.797895,0.957071,3.000000,0.949955
shift,IMG0000144.png,0.756471,0.608325,0.652130,0.900560,10.206941,0.876158
shift,IMG0000151.png,0.875464,0.778511,0.800388,0.966082,5.656854,0.924945
shift,IMG0000453.png,0.864666,0.761596,0.858830,0.870582,6.000000,0.943722
shift,IMG0000454.png,0.771869,0.628491,0.747713,0.797637,13.341664,0.923699
shift,IMG0001123.png,0.799903,0.666533,0.713302,0.910440,10.039900,0.932927
shift,IMG0001360.png,0.840859,0.725415,0.766532,0.931148,8.062258,0.913191
shift,IMG0001980.png,0.792332,0.656085,0.724440,0.874266,7.615773,0.903905
shift,IMG0002021.png,0.785033,0.646135,0.680662,0.927210,7.071068,0.890949
shift,IMG0002180.png,0.827346,0.705534,0.777439,0.884101,19.362157,0.941207
shift,IMG0002300.png,0.720688,0.563340,0.581871,0.946492,8.944272,0.967975
shift,IMG0002305.png,0.699374,0.537721,0.542657,0.983366,14.317438,0.931316
shift,IMG0002309.png,0.783222,0.643686,0.670470,0.941565,10.605318,0.986967
shift,IMG0002320.png,0.880246,0.786107,0.819355,0.950915,6.203659,0.985765
shift,IMG0002333.png,0.737892,0.584650,0.656805,0.841820,13.592217,0.856972
shift,IMG0002345.png,0.747304,0.596556,0.681180,0.827645,9.463050,0.919094
shift,IMG0002357.png,0.592790,0.421252,0.455852,0.847328,7.703288,0.880343
shift,IMG0002363.png,0.795153,0.659962,0.726793,0.877707,6.000000,0.899204
shift,IMG0002376.png,0.735084,0.581132,0.616000,0.911243,5.608058,0.834480
shift,IMG0002381.png,0.642063,0.472823,0.505248,0.880488,10.580450,0.972696
shift,IMG0002384.png,0.670300,0.504098,0.533356,0.901861,11.000000,0.963835
shift,IMG0002402.png,0.621313,0.450655,0.473855,0.902006,11.180340,0.942635
shift,IMG0002416.png,0.771870,0.628492,0.663717,0.922131,6.299875,0.868548
shift,IMG0002426.png,0.748031,0.597484,0.658199,0.866261,5.697216,0.852026
shift,IMG0002437.png,0.780978,0.640659,0.652125,0.973289,9.848858,0.868740
shift,IMG0002451.png,0.616962,0.446092,0.461646,0.929775,11.313708,0.856005
shift,IMG0002456.png,0.800490,0.667347,0.700214,0.934286,4.123106,0.906891
shift,IMG0002460.png,0.791315,0.654691,0.692714,0.922644,9.164490,0.901277
shift,IMG0002470.png,0.705689,0.545224,0.582656,0.894591,9.219544,0.879702
shift,IMG0002475.png,0.736924,0.583436,0.636834,0.874344,15.264338,0.947055
shift,IMG0002484.png,0.805631,0.674524,0.720930,0.912883,7.464725,0.927184
shift,IMG0002494.png,0.637066,0.467422,0.491803,0.904110,8.944272,0.873248
shift,IMG0002500.png,0.760494,0.613546,0.658120,0.900585,6.053796,0.873832
shift,IMG0002501.png,0.751092,0.601399,0.634352,0.920489,6.980352,0.908999
shift,IMG0002502.png,0.750000,0.600000,0.625000,0.937500,5.024755,0.897615
shift,IMG0002508.png,0.723871,0.567240,0.591755,0.931937,7.127082,0.929980
shift,IMG0002515.png,0.643856,0.474769,0.494350,0.922996,16.888236,0.927697
shift,IMG0002517.png,0.801519,0.668780,0.693509,0.949381,11.009017,0.925509
shift,IMG0002518.png,0.519570,0.350959,0.359342,0.937673,14.221194,0.959237
shift,IMG0002519.png,0.652511,0.484242,0.534448,0.837526,16.132260,0.910360
shift,IMG0002522.png,0.726398,0.570349,0.707905,0.745882,15.605656,0.910298
shift,IMG0002523.png,0.594883,0.423369,0.450168,0.876721,15.477814,0.968475
shift,IMG0002533.png,0.759058,0.611679,0.635812,0.941573,7.771354,0.909363
shift,IMG0002568.png,0.764200,0.618384,0.660059,0.907357,6.387410,0.969148
shift,IMG0002577.png,0.736544,0.582960,0.608899,0.931900,8.000000,0.990041
shift,IMG0002579.png,0.798933,0.665187,0.700000,0.930435,7.534067,0.958778
shift,IMG0002582.png,0.814286,0.686747,0.697552,0.977941,5.385165,0.963993
shift,IMG0002584.png,0.680739,0.516000,0.530864,0.948529,9.000000,0.866235
shift,IMG0002594.png,0.649706,0.481159,0.501511,0.922222,6.692950,0.840686
shift,IMG0002595.png,0.690058,0.526786,0.554859,0.912371,8.062258,0.958183
shift,IMG0002745.png,0.733734,0.579447,0.600716,0.942416,5.656854,0.987773
shift,IMG0002934.png,0.815212,0.688065,0.743164,0.902728,5.000000,0.905461
shift,IMG0003146.png,0.789443,0.652132,0.723656,0.868387,11.522933,0.934656
shift,IMG0003147.png,0.705435,0.544921,0.642021,0.782750,15.303460,0.845810
shift,IMG0003157.png,0.777975,0.636628,0.636628,1.000000,4.135059,0.964727
shift,IMG0003218.png,0.796440,0.661738,0.674835,0.971506,6.000000,0.920142
shift,IMG0003264.png,0.778598,0.637462,0.653926,0.962006,8.062258,0.959933
shift,IMG0003309.png,0.615686,0.444759,0.456395,0.945783,16.954200,0.868922
shift,IMG0003395.png,0.670852,0.504723,0.536585,0.894737,5.787427,0.964530
shift,IMG0003458.png,0.646764,0.477939,0.557890,0.769318,17.809406,0.983314
shift,IMG0003586.png,0.689449,0.526076,0.540885,0.950530,8.000000,0.985597
shift,IMG0003703.png,0.683149,0.518775,0.548017,0.906736,12.140571,0.913239
shift,IMG0003713.png,0.720000,0.562500,0.606742,0.885246,4.000000,0.865731
shift,IMG0003734.png,0.752508,0.603217,0.623269,0.949367,4.280509,0.966397
shift,IMG0003767.png,0.759847,0.612704,0.647042,0.920290,12.074741,0.966498
shift,IMG0003810.png,0.640000,0.470588,0.491468,0.917197,8.485281,0.786778
shift,IMG0003942.png,0.774069,0.631414,0.662637,0.930556,6.324555,0.900405
shift,IMG0003952.png,0.615120,0.444169,0.450882,0.967568,6.403124,0.878966
shift,IMG0003953.png,0.806026,0.675079,0.718121,0.918455,5.313628,0.891649
shift,IMG0004044.png,0.725768,0.569573,0.606719,0.902941,7.615773,0.881891
shift,IMG0004114.png,0.713093,0.554114,0.622170,0.835138,22.854870,0.900849
shift,IMG0004233.png,0.830688,0.710407,0.907514,0.765854,3.024342,0.932594
shift,IMG0004376.png,0.769942,0.625940,0.710021,0.840909,4.277065,0.864877
