mode,dice,iou,pre,rec,hd95,cbl,N_img,N_samples
zoom_out,0.7372,0.5941,0.6548,0.9039,9.0326,0.9363,72,92
shift,0.7170,0.5678,0.6377,0.8760,9.9802,0.9142,72,92
