mode,dice,iou,pre,rec,hd95,cbl,N_img,N_samples
zoom_out,0.7560,0.6163,0.6344,0.9610,9.2997,0.9549,72,92
shift,0.7311,0.5840,0.6129,0.9292,10.4646,0.9207,72,92
