mode,img_name,dice,iou,pre,rec,hd95,cbl
zoom_out,IMG0003713.png,0.754717,0.606061,0.612245,0.983607,3.605551,0.943993
zoom_out,IMG0003734.png,0.767642,0.622905,0.648256,0.940928,3.605551,0.976242
zoom_out,IMG0003767.png,0.718386,0.560532,0.571327,0.967391,13.924794,0.949341
zoom_out,IMG0003810.png,0.658281,0.490625,0.490625,1.000000,6.469919,0.941625
zoom_out,IMG0003942.png,0.838583,0.722034,0.729452,0.986111,5.000000,0.962633
zoom_out,IMG0003952.png,0.644599,0.475578,0.475578,1.000000,7.810250,0.897121
zoom_out,IMG0003953.png,0.883673,0.791591,0.842412,0.929185,2.828427,0.958995
zoom_out,IMG0004044.png,0.793612,0.657841,0.681435,0.950000,4.788854,0.981282
zoom_out,IMG0004114.png,0.644301,0.475254,0.476127,0.996158,24.743672,0.980573
zoom_out,IMG0004233.png,0.837838,0.720930,0.778243,0.907317,2.828427,0.915567
zoom_out,IMG0004376.png,0.867215,0.765560,0.810989,0.931818,4.000000,0.943942
shift,IMG0000144.png,0.812388,0.684052,0.706736,0.955182,7.071068,0.925013
shift,IMG0000151.png,0.881392,0.787936,0.802303,0.977778,5.019804,0.944628
shift,IMG0000453.png,0.755768,0.607417,0.746111,0.765678,9.219544,0.877405
shift,IMG0000454.png,0.730523,0.575451,0.587500,0.965588,14.282684,0.900369
shift,IMG0001123.png,0.842232,0.727462,0.748931,0.962088,8.062258,0.941237
shift,IMG0001360.png,0.807592,0.677278,0.739605,0.889344,9.068145,0.908764
shift,IMG0001980.png,0.706441,0.546122,0.641419,0.786134,8.062258,0.850354
shift,IMG0002021.png,0.849357,0.738158,0.754032,0.972270,4.472136,0.935263
shift,IMG0002180.png,0.553075,0.382242,0.382242,1.000000,38.431751,0.870167
shift,IMG0002300.png,0.733333,0.578947,0.595256,0.954816,7.928312,0.981595
shift,IMG0002305.png,0.666203,0.499479,0.516721,0.937378,20.741059,0.851729
shift,IMG0002309.png,0.786373,0.647952,0.684100,0.924599,8.824191,0.963092
shift,IMG0002320.png,0.788920,0.651419,0.681818,0.935940,11.000000,0.987598
shift,IMG0002333.png,0.854483,0.745937,0.779964,0.944745,9.936153,0.915619
shift,IMG0002345.png,0.722553,0.565623,0.653772,0.807509,13.397508,0.903245
shift,IMG0002357.png,0.674764,0.509165,0.521921,0.954198,8.485281,0.906722
shift,IMG0002363.png,0.845021,0.731633,0.786184,0.913376,6.324555,0.908887
shift,IMG0002376.png,0.717949,0.560000,0.561873,0.994083,5.024755,0.941404
shift,IMG0002381.png,0.671028,0.504923,0.543939,0.875610,10.295630,0.983350
shift,IMG0002384.png,0.697770,0.535828,0.550309,0.953187,13.976665,0.950952
shift,IMG0002402.png,0.641559,0.472276,0.487005,0.939815,12.958276,0.948573
shift,IMG0002416.png,0.783034,0.643432,0.650406,0.983607,4.472136,0.904053
shift,IMG0002426.png,0.854795,0.746412,0.778055,0.948328,3.921110,0.932725
shift,IMG0002437.png,0.829817,0.709135,0.716889,0.984975,7.211103,0.923652
shift,IMG0002451.png,0.630357,0.460235,0.462042,0.991573,7.810250,0.952768
