img,seg_status,dice,iou
IMG0000081,FP,0.0,0.0
IMG0000144,TP,0.8633993864059448,0.7596330046653748
IMG0000264,FP,0.0,0.0
IMG0000277,FP,0.0,0.0
IMG0000448,FP,0.0,0.0
IMG0000453,TP,0.8903400301933289,0.8023539185523987
IMG0000454,TP,0.8353127241134644,0.7171992063522339
IMG0000602,FP,0.0,0.0
IMG0000661,FP,0.0,0.0
IMG0000696,FP,0.0,0.0
IMG0000714,FP,0.0,0.0
IMG0000818,FP,0.0,0.0
IMG0000923,FP,0.0,0.0
IMG0001360,TP,0.8291139006614685,0.708108127117157
IMG0001427,FP,0.0,0.0
IMG0001465,FP,0.0,0.0
IMG0001558,FP,0.0,0.0
IMG0001632,FP,0.0,0.0
IMG0001768,FP,0.0,0.0
IMG0002021,TP,0.8852242827415466,0.7940828204154968
IMG0002159,FP,0.0,0.0
IMG0002284,FP,0.0,0.0
IMG0002300,TP,0.7994616627693176,0.665919303894043
IMG0002305,TP,0.8001644611358643,0.6668951511383057
IMG0002309,TP,0.8922725319862366,0.8054983019828796
IMG0002320,TP,0.8331531286239624,0.7140210270881653
IMG0002333,TP,0.8811973929405212,0.7876254320144653
IMG0002345,TP,0.748379647731781,0.5979286432266235
IMG0002357,TP,0.6950904130935669,0.5326732397079468
IMG0002376,TP,0.8648648858070374,0.761904776096344
IMG0002381,TP,0.7816817760467529,0.6416072845458984
IMG0002384,TP,0.8025234341621399,0.6701787710189819
IMG0002416,TP,0.7591836452484131,0.6118420958518982
IMG0002426,TP,0.909747302532196,0.8344370722770691
IMG0002451,TP,0.7607973217964172,0.6139410138130188
IMG0002456,TP,0.8859357833862305,0.7952286005020142
IMG0002460,TP,0.8879402279853821,0.7984644770622253
IMG0002470,TP,0.8667871952056885,0.7648935914039612
IMG0002475,TP,0.6894956231117249,0.526129961013794
IMG0002484,TP,0.9234567880630493,0.857798159122467
IMG0002500,TP,0.8493770956993103,0.7381889820098877
IMG0002501,TP,0.8565022349357605,0.7490196228027344
IMG0002515,TP,0.7919220924377441,0.6555224061012268
IMG0002517,TP,0.8424691557884216,0.7278156876564026
IMG0002568,TP,0.8337028622627258,0.7148289084434509
IMG0002577,TP,0.8404966592788696,0.7248764634132385
IMG0002579,TP,0.8725361227989197,0.7738927602767944
IMG0002582,TP,0.8553113341331482,0.7472000122070312
IMG0002584,TP,0.7551299333572388,0.6065934300422668
IMG0002595,TP,0.8158136606216431,0.6889234185218811
IMG0002636,FP,0.0,0.0
IMG0002745,TP,0.8493003249168396,0.7380729913711548
IMG0002934,TP,0.8988186717033386,0.816231369972229
IMG0003074,FP,0.0,0.0
IMG0003126,FP,0.0,0.0
IMG0003146,TP,0.8549742698669434,0.7466856241226196
IMG0003147,TP,0.820035994052887,0.6949669718742371
IMG0003150,FP,0.0,0.0
IMG0003218,TP,0.8931931257247925,0.8069999814033508
IMG0003296,FP,0.0,0.0
IMG0003309,TP,0.6827932596206665,0.5183644890785217
IMG0003371,FP,0.0,0.0
IMG0003395,TP,0.712660014629364,0.5535911321640015
IMG0003458,TP,0.7587538957595825,0.6112840175628662
IMG0003480,FP,0.0,0.0
IMG0003561,FP,0.0,0.0
IMG0003615,FP,0.0,0.0
IMG0003703,TP,0.791977047920227,0.6555977463722229
IMG0003713,TP,0.8045112490653992,0.6729559898376465
IMG0003734,TP,0.7669172883033752,0.6219512224197388
IMG0003942,TP,0.8797687888145447,0.785345733165741
IMG0003952,TP,0.6595744490623474,0.4920634925365448
IMG0003953,TP,0.801913857460022,0.669329047203064
IMG0004012,FP,0.0,0.0
IMG0004044,TP,0.8275862336158752,0.7058823704719543
IMG0004114,TP,0.8306173086166382,0.7103040814399719
IMG0004233,TP,0.7926267385482788,0.6564885377883911
IMG0004376,TP,0.8520179390907288,0.7421875
