mode,dice,iou,pre,rec,hd95,cbl,N_img,N_samples
zoom_out,0.8158,0.6963,0.7711,0.8845,7.3516,0.9572,72,92
shift,0.7777,0.6429,0.7369,0.8395,8.7027,0.9212,72,92
