mode,dice,iou,pre,rec,hd95,cbl,N_img,N_samples
zoom_out,0.8132,0.6933,0.7905,0.8641,6.7863,0.9546,72,92
shift,0.7896,0.6600,0.7676,0.8348,7.5293,0.9324,72,92
