mode,img_name,dice,iou,pre,rec,hd95,cbl
zoom_out,IMG0003713.png,0.909561,0.834123,0.862745,0.961749,2.000000,0.974657
zoom_out,IMG0003734.png,0.783646,0.644258,0.657143,0.970464,5.000000,0.983889
zoom_out,IMG0003767.png,0.806362,0.675550,0.745809,0.877617,9.192017,0.987388
zoom_out,IMG0003810.png,0.798898,0.665138,0.703883,0.923567,3.605551,0.915944
zoom_out,IMG0003942.png,0.896133,0.811813,0.880775,0.912037,3.081139,0.956534
zoom_out,IMG0003952.png,0.706114,0.545732,0.555901,0.967568,4.192912,0.944347
zoom_out,IMG0003953.png,0.879659,0.785171,0.873150,0.886266,3.000000,0.963162
zoom_out,IMG0004044.png,0.817927,0.691943,0.780749,0.858824,4.000000,0.982557
zoom_out,IMG0004114.png,0.903587,0.824131,0.834369,0.985330,7.231336,0.992708
zoom_out,IMG0004233.png,0.340081,0.204878,1.000000,0.204878,10.007481,0.912782
zoom_out,IMG0004376.png,0.862797,0.758701,0.903315,0.825758,2.236068,0.955585
shift,IMG0000144.png,0.796908,0.662383,0.799718,0.794118,7.071068,0.908113
shift,IMG0000151.png,0.795973,0.661093,0.933858,0.693567,5.000000,0.941295
shift,IMG0000453.png,0.840351,0.724660,0.896574,0.790764,9.164490,0.914739
shift,IMG0000454.png,0.762891,0.616673,0.668082,0.889060,10.440307,0.919630
shift,IMG0001123.png,0.828556,0.707295,0.815761,0.841758,9.433981,0.946441
shift,IMG0001360.png,0.858985,0.752825,0.844691,0.873770,5.000000,0.943132
shift,IMG0001980.png,0.842912,0.728477,0.923077,0.775558,7.211103,0.949128
shift,IMG0002021.png,0.848337,0.736620,0.797256,0.906412,5.084167,0.907836
shift,IMG0002180.png,0.696804,0.534689,0.656448,0.742447,24.883573,0.874976
shift,IMG0002300.png,0.799782,0.666364,0.737212,0.873960,5.000000,0.975437
shift,IMG0002305.png,0.784973,0.646054,0.793207,0.776908,9.072692,0.907088
shift,IMG0002309.png,0.882519,0.789739,0.880037,0.885014,5.000000,0.977111
shift,IMG0002320.png,0.911158,0.836814,0.922421,0.900166,5.000000,0.990226
shift,IMG0002333.png,0.713309,0.554375,0.693252,0.734561,13.204998,0.859030
shift,IMG0002345.png,0.650731,0.482285,0.681614,0.622526,12.083046,0.915543
shift,IMG0002357.png,0.678019,0.512881,0.570312,0.835878,5.804837,0.899331
shift,IMG0002363.png,0.850427,0.739777,0.964459,0.760510,5.000000,0.960311
shift,IMG0002376.png,0.862275,0.757895,0.872727,0.852071,2.680337,0.912612
shift,IMG0002381.png,0.752613,0.603352,0.635828,0.921951,8.944272,0.972093
shift,IMG0002384.png,0.797395,0.663057,0.717117,0.897913,11.746428,0.977960
shift,IMG0002402.png,0.795297,0.660161,0.720551,0.887346,6.000000,0.993889
shift,IMG0002416.png,0.892430,0.805755,0.868217,0.918033,2.000000,0.973653
shift,IMG0002426.png,0.816817,0.690355,0.807122,0.826748,3.561224,0.895397
shift,IMG0002437.png,0.919901,0.851682,0.910131,0.929883,2.141641,0.981931
shift,IMG0002451.png,0.692153,0.529231,0.539185,0.966292,9.251710,0.855016
shift,IMG0002456.png,0.810015,0.680693,0.835866,0.785714,4.071350,0.903947
shift,IMG0002460.png,0.845638,0.732558,0.808729,0.886076,5.656854,0.927434
