img,seg_status,dice,iou
IMG000002,TP,0.9254163503646851,0.8611859679222107
IMG000006,TP,0.7937254905700684,0.6579973697662354
IMG000013,TP,0.7785235047340393,0.6373626589775085
IMG000020,TP,0.9595748782157898,0.9222911596298218
IMG000028,TP,0.8630958795547485,0.7591632604598999
IMG000052,TP,0.8439531922340393,0.7300337553024292
IMG000054,TP,0.8519023656845093,0.7420121431350708
IMG000078,TP,0.8165321946144104,0.6899487972259521
IMG000084,TP,0.801238477230072,0.6683885455131531
IMG000086,TP,0.8266674280166626,0.7045465707778931
IMG000098,TP,0.8620689511299133,0.7575757503509521
IMG000102,TP,0.915112316608429,0.843508780002594
IMG000108,TP,0.9028047323226929,0.8228296041488647
IMG000121,TP,0.9085015654563904,0.8323433995246887
IMG000125,TP,0.8752506375312805,0.7781739234924316
IMG000126,TP,0.8624132871627808,0.7581077218055725
IMG000144,TP,0.8586292266845703,0.7522789239883423
IMG000145,TP,0.27340421080589294,0.1583487093448639
IMG000152,TP,0.8739221096038818,0.776076078414917
IMG000161,TP,0.7538923621177673,0.6049978137016296
IMG000184,TP,0.95806485414505,0.9195052981376648
IMG000188,TP,0.8521849513053894,0.742440938949585
IMG000193,TP,0.8500866293907166,0.7392615079879761
IMG000201,TP,0.9080546498298645,0.8315935134887695
IMG000202,TP,0.8613573312759399,0.7564773559570312
IMG000208,TP,0.8657416105270386,0.7632666826248169
IMG000209,TP,0.8528769016265869,0.7434920072555542
IMG000217,TP,0.8623568415641785,0.7580204606056213
IMG000227,TP,0.7640989422798157,0.6182525753974915
IMG000242,TP,0.8796741366386414,0.7851948738098145
IMG000245,TP,0.7720391750335693,0.6287164688110352
IMG000298,TP,0.8800907731056213,0.7858590483665466
IMG000305,TP,0.7904762029647827,0.6535432934761047
IMG000310,TP,0.8848484754562378,0.79347825050354
IMG000314,TP,0.8915244340896606,0.8042797446250916
IMG000315,TP,0.9411583542823792,0.8888565897941589
IMG000317,TP,0.9036996960639954,0.8243176341056824
IMG000326,TP,0.8500000238418579,0.739130437374115
IMG000356,TP,0.9014084339141846,0.8205128312110901
IMG000360,TP,0.8267942667007446,0.7047308087348938
IMG000369,TP,0.8753514289855957,0.778333306312561
IMG000402,TP,0.9382743835449219,0.8837258815765381
IMG000428,TP,0.9222641587257385,0.8557422757148743
IMG000449,TP,0.9073979258537292,0.8304925560951233
IMG000453,TP,0.9358261823654175,0.8793922066688538
IMG000472,TP,0.8566279411315918,0.7492119073867798
IMG000485,TP,0.9042937159538269,0.8253066539764404
IMG000517,TP,0.9362497925758362,0.8801407217979431
IMG000534,TP,0.954960823059082,0.9138038754463196
IMG000535,TP,0.9281541109085083,0.8659399151802063
IMG000558,TP,0.5714285969734192,0.4000000059604645
IMG000571,TP,0.9204601049423218,0.8526411056518555
IMG000607,TP,0.5495936870574951,0.3789239823818207
IMG000622,TP,0.9549014568328857,0.9136950969696045
IMG000623,TP,0.9587454795837402,0.9207599759101868
IMG000632,TP,0.8632104992866516,0.7593406438827515
IMG000641,TP,0.768750011920929,0.624365508556366
IMG000643,TP,0.9203821420669556,0.8525073528289795
IMG000648,TP,0.8063660264015198,0.6755555272102356
IMG000660,TP,0.9314389824867249,0.871675968170166
IMG000666,TP,0.905256986618042,0.8269127607345581
IMG000701,TP,0.8695651888847351,0.7692307829856873
IMG000710,TP,0.9103690981864929,0.8354838490486145
IMG000724,TP,0.892288863658905,0.8055248856544495
IMG000736,TP,0.8648648858070374,0.761904776096344
IMG000753,TP,0.8464730381965637,0.7338129281997681
IMG000762,TP,0.8844621777534485,0.7928571701049805
IMG000780,TP,0.8275862336158752,0.7058823704719543
IMG000791,TP,0.8788939714431763,0.783952534198761
IMG000797,TP,0.8625261783599854,0.7582821846008301
IMG000813,TP,0.9377911686897278,0.8828689455986023
IMG000822,TP,0.8916107416152954,0.8044202327728271
IMG000833,TP,0.8442420363426208,0.7304661273956299
IMG000841,TP,0.8689717650413513,0.7683025002479553
IMG000847,TP,0.8780882954597473,0.7826714515686035
IMG000849,TP,0.8503254055976868,0.7396226525306702
IMG000856,TP,0.7922077775001526,0.6559139490127563
IMG000857,TP,0.9176068305969238,0.8477573990821838
IMG000865,TP,0.9301204681396484,0.869369387626648
IMG000868,TP,0.8026315569877625,0.6703296899795532
IMG000872,TP,0.9098984599113464,0.8346915245056152
IMG000892,TP,0.9147608876228333,0.8429118990898132
IMG000899,TP,0.8622093200683594,0.7577925324440002
IMG000927,TP,0.8826135396957397,0.7898910045623779
IMG000929,TP,0.8172042965888977,0.6909090876579285
