mode,dice,iou,pre,rec,hd95,cbl,N_img,N_samples
zoom_out,0.7670,0.6325,0.6662,0.9436,8.4744,0.9503,72,92
shift,0.7199,0.5720,0.6276,0.8881,17.0006,0.8973,72,92
