mode,img_name,dice,iou,pre,rec,hd95,cbl
zoom_out,IMG0003713.png,0.848329,0.736607,0.800971,0.901639,2.680337,0.942922
zoom_out,IMG0003734.png,0.756849,0.608815,0.636888,0.932489,4.242641,0.931346
zoom_out,IMG0003767.png,0.752864,0.603674,0.616868,0.965781,12.000000,0.982515
zoom_out,IMG0003810.png,0.711217,0.551852,0.568702,0.949045,6.403124,0.868569
zoom_out,IMG0003942.png,0.836870,0.719498,0.733721,0.973765,4.498529,0.979238
zoom_out,IMG0003952.png,0.651246,0.482850,0.485411,0.989189,5.656854,0.941820
zoom_out,IMG0003953.png,0.881323,0.787826,0.806050,0.972103,2.828427,0.967498
zoom_out,IMG0004044.png,0.780312,0.639764,0.659229,0.955882,6.082763,0.961710
zoom_out,IMG0004114.png,0.715164,0.556619,0.564611,0.975201,21.252028,0.931408
zoom_out,IMG0004233.png,0.185841,0.102439,1.000000,0.102439,7.848051,0.946007
zoom_out,IMG0004376.png,0.889166,0.800448,0.877150,0.901515,3.000000,0.961683
shift,IMG0000144.png,0.770501,0.626679,0.665647,0.914566,11.071234,0.871162
shift,IMG0000151.png,0.788497,0.650842,0.653344,0.994152,11.462343,0.896286
shift,IMG0000453.png,0.829837,0.709163,0.848629,0.811859,7.056854,0.919961
shift,IMG0000454.png,0.680831,0.516106,0.624144,0.748844,14.653323,0.850538
shift,IMG0001123.png,0.820399,0.695489,0.743636,0.914835,9.690163,0.942355
shift,IMG0001360.png,0.876052,0.779442,0.821377,0.938525,5.521010,0.943388
shift,IMG0001980.png,0.768981,0.624670,0.713998,0.833138,7.176094,0.883732
shift,IMG0002021.png,0.803500,0.671543,0.742647,0.875217,5.778723,0.891050
shift,IMG0002180.png,0.624635,0.454159,0.504184,0.820703,31.644074,0.830630
shift,IMG0002300.png,0.717033,0.558887,0.583023,0.931035,7.615773,0.977551
shift,IMG0002305.png,0.696552,0.534392,0.537806,0.988258,14.405924,0.930913
shift,IMG0002309.png,0.800494,0.667353,0.710219,0.917059,8.395107,0.973989
shift,IMG0002320.png,0.819041,0.693539,0.706949,0.973378,9.000000,0.991707
shift,IMG0002333.png,0.761187,0.614448,0.710131,0.820152,13.000000,0.855806
shift,IMG0002345.png,0.695486,0.533138,0.610953,0.807167,11.661904,0.887857
shift,IMG0002357.png,0.606711,0.435453,0.467909,0.862595,7.810250,0.890054
shift,IMG0002363.png,0.800237,0.666996,0.748337,0.859873,5.385165,0.899968
shift,IMG0002376.png,0.786070,0.647541,0.678112,0.934911,5.000000,0.866350
shift,IMG0002381.png,0.664193,0.497222,0.535928,0.873171,8.944272,0.990825
shift,IMG0002384.png,0.718922,0.561186,0.590711,0.918218,10.873681,0.961921
shift,IMG0002402.png,0.638842,0.469337,0.505391,0.868056,11.004536,0.932840
shift,IMG0002416.png,0.737673,0.584375,0.711027,0.766393,4.262718,0.881089
shift,IMG0002426.png,0.749646,0.599548,0.701058,0.805471,5.000000,0.852553
shift,IMG0002437.png,0.752716,0.603484,0.609731,0.983306,11.401754,0.846246
shift,IMG0002451.png,0.641122,0.471802,0.480392,0.963483,12.481234,0.861347
shift,IMG0002456.png,0.812887,0.684760,0.717724,0.937143,4.000000,0.908552
shift,IMG0002460.png,0.808030,0.677895,0.729332,0.905767,8.944272,0.910405
shift,IMG0002470.png,0.702374,0.541277,0.583486,0.882108,10.795204,0.864950
shift,IMG0002475.png,0.661163,0.493833,0.517645,0.914789,19.569785,0.898022
shift,IMG0002484.png,0.813137,0.685115,0.754995,0.880982,5.923928,0.924662
shift,IMG0002494.png,0.656863,0.489051,0.511450,0.917808,8.062258,0.896525
shift,IMG0002500.png,0.767651,0.622917,0.684211,0.874269,5.099020,0.879809
shift,IMG0002501.png,0.728535,0.572989,0.620430,0.882263,8.062258,0.887539
shift,IMG0002502.png,0.752665,0.603419,0.619298,0.959239,5.000000,0.920746
shift,IMG0002508.png,0.732766,0.578240,0.617204,0.901571,6.324555,0.935764
shift,IMG0002515.png,0.664702,0.497792,0.510759,0.951477,15.652476,0.937884
shift,IMG0002517.png,0.803240,0.671178,0.696694,0.948256,9.899495,0.925644
shift,IMG0002518.png,0.500194,0.333505,0.347125,0.894737,15.811388,0.950320
shift,IMG0002519.png,0.648792,0.480157,0.507084,0.900419,18.181677,0.875352
shift,IMG0002522.png,0.661931,0.494692,0.559014,0.811294,28.460499,0.811771
shift,IMG0002523.png,0.579697,0.408151,0.435441,0.866885,16.755584,0.964786
shift,IMG0002533.png,0.761566,0.614943,0.630339,0.961798,7.810250,0.916054
shift,IMG0002568.png,0.771112,0.627488,0.673449,0.901907,6.998495,0.950614
shift,IMG0002577.png,0.731190,0.576281,0.603499,0.927419,9.098795,0.988021
shift,IMG0002579.png,0.775330,0.633094,0.639742,0.983851,8.108246,0.959353
shift,IMG0002582.png,0.794326,0.658824,0.677029,0.960784,5.385165,0.960843
shift,IMG0002584.png,0.709766,0.550107,0.567033,0.948529,8.034242,0.884004
shift,IMG0002594.png,0.696203,0.533981,0.561224,0.916667,5.691674,0.846484
shift,IMG0002595.png,0.634243,0.464390,0.474065,0.957904,12.723981,0.962119
shift,IMG0002745.png,0.764807,0.619181,0.647517,0.933989,5.385165,0.975983
shift,IMG0002934.png,0.823662,0.700192,0.784335,0.867141,5.000000,0.910056
shift,IMG0003146.png,0.638710,0.469194,0.518952,0.830323,22.004515,0.876515
shift,IMG0003147.png,0.783983,0.644713,0.675904,0.933204,14.868066,0.902486
shift,IMG0003157.png,0.837945,0.721088,0.738676,0.968037,3.162278,0.952312
shift,IMG0003218.png,0.829211,0.708250,0.732570,0.955224,4.683282,0.939666
shift,IMG0003264.png,0.793794,0.658092,0.690664,0.933131,7.071068,0.956149
shift,IMG0003309.png,0.619024,0.448251,0.460073,0.945783,16.124515,0.863040
shift,IMG0003395.png,0.683426,0.519095,0.559451,0.877990,5.656854,0.932662
shift,IMG0003458.png,0.590568,0.419011,0.466689,0.803977,21.948802,0.876684
shift,IMG0003586.png,0.708816,0.548966,0.569792,0.937574,8.544004,0.993320
shift,IMG0003703.png,0.685034,0.520952,0.537328,0.944732,11.401754,0.925948
shift,IMG0003713.png,0.777202,0.635593,0.738916,0.819672,3.605551,0.875904
shift,IMG0003734.png,0.769231,0.625000,0.656716,0.928270,3.669260,0.969014
shift,IMG0003767.png,0.740150,0.587490,0.612946,0.933977,12.000000,0.992119
shift,IMG0003810.png,0.661801,0.494545,0.535433,0.866242,7.810250,0.802718
shift,IMG0003942.png,0.780227,0.639650,0.687868,0.901235,6.000000,0.902835
shift,IMG0003952.png,0.652095,0.483784,0.491758,0.967568,5.656854,0.890892
shift,IMG0003953.png,0.811538,0.682848,0.735192,0.905579,5.099020,0.884082
shift,IMG0004044.png,0.695652,0.533333,0.579256,0.870588,8.062258,0.868499
shift,IMG0004114.png,0.706356,0.546021,0.562526,0.949005,28.600699,0.854858
shift,IMG0004233.png,0.000000,0.000000,1.000000,0.000000,512.000000,0.000000
shift,IMG0004376.png,0.762025,0.615542,0.763959,0.760101,5.000000,0.872531
