mode,dice,iou,pre,rec,hd95,cbl,N_img,N_samples
zoom_out,0.7115,0.5609,0.5870,0.9375,11.2281,0.9145,72,92
shift,0.6990,0.5448,0.5798,0.9142,11.6715,0.8979,72,92
